"","subject","block","trial","first_trial_in_block","choice","selected_offer","unchosen","offer1","offer2","expval_ch","expval_unch","reward","1","2","arm_1","arm_2","arm_3","arm_4","arm_5","arm_6","arm_7","arm_8"
"1",1,1,1,1,2,1,1,1,2,0.310153010161594,0.343426165007986,0,0.5,0.5,0.343426165007986,0.310153010161594,0.17885999022983,0.818565780832432,0.165576427499764,0.252415430149995,0.805537147982977,0.505326561722904
"2",1,1,2,0,1,0,2,1,2,0.351079743292266,0.309464882088994,1,0.5,0.250415649822479,0.351079743292266,0.309464882088994,0.176225438747821,0.798079142222094,0.167200056387336,0.278816614321752,0.778888282691043,0.492567712484823
"3",1,1,3,0,2,1,1,1,2,0.327731967063567,0.361793298252513,0,0.749584350177521,0.250415649822479,0.361793298252513,0.327731967063567,0.167332408674935,0.75612889180947,0.16591466579125,0.278047893431678,0.777241534016023,0.470919912653677
"4",1,1,4,0,2,1,1,1,2,0.337850295022544,0.393390715979359,0,0.749584350177521,0.125415995352029,0.393390715979359,0.337850295022544,0.157946662796358,0.74159303034758,0.220782393695695,0.265236536416798,0.772861547640018,0.459021314897057
"5",1,1,5,0,1,0,2,1,2,0.412716425886633,0.351328294783245,0,0.749584350177521,0.0628122559484224,0.412716425886633,0.351328294783245,0.15,0.731011803382797,0.24123320576566,0.28137971096267,0.787028186493098,0.443589602641674
"6",1,1,6,0,1,0,2,1,2,0.423824932482791,0.311845632244704,1,0.375415304292929,0.0628122559484224,0.423824932482791,0.311845632244704,0.15,0.742675776863477,0.239671902494795,0.298492162077823,0.777501988857907,0.500361225171737
"7",1,1,7,0,1,0,2,1,2,0.428699497001691,0.310554326520922,0,0.687188435110677,0.0628122559484224,0.428699497001691,0.310554326520922,0.150828496120609,0.743547185077724,0.24896023699721,0.288199292615435,0.755023271218192,0.535959794397911
"8",1,1,8,0,1,0,2,1,2,0.423493761382353,0.30796624258621,0,0.344165477057465,0.0628122559484224,0.423493761382353,0.30796624258621,0.15,0.730911925479861,0.276333816685759,0.288538781037651,0.763499378262345,0.58692691897618
"9",1,1,9,0,1,0,2,1,2,0.434366220932882,0.315757112905267,1,0.172368843167617,0.0628122559484224,0.434366220932882,0.315757112905267,0.159877959847856,0.696956649563261,0.24862222890065,0.279996579406945,0.763598376698687,0.611839954360518
"10",1,1,10,0,1,0,2,1,2,0.434795913399388,0.342893451941516,0,0.585496412096978,0.0628122559484224,0.434795913399388,0.342893451941516,0.171249213992162,0.687783929908697,0.259488024698049,0.311336249540982,0.764532850657272,0.651611851267403
"11",1,1,11,0,1,0,2,1,2,0.407335179320723,0.323881163065407,0,0.293234929007989,0.0628122559484224,0.407335179320723,0.323881163065407,0.15,0.704489865827401,0.251862467462847,0.321559013702456,0.765415332345602,0.661118041069342
"12",1,1,12,0,2,1,1,1,2,0.305297600491013,0.384376370392316,1,0.146861230596368,0.0628122559484224,0.384376370392316,0.305297600491013,0.15,0.720096796871703,0.256974419554518,0.344101547732976,0.730093148403322,0.677820990406259
"13",1,1,13,0,2,1,1,1,2,0.321730045824395,0.38422233779447,0,0.146861230596368,0.530627044135323,0.38422233779447,0.321730045824395,0.15,0.737217854057704,0.270807357118486,0.342260208041518,0.759947076618873,0.685592774016301
"14",1,1,14,0,2,1,1,1,2,0.32275516720771,0.414485990214878,0,0.146861230596368,0.265754632141056,0.414485990214878,0.32275516720771,0.15,0.728173945243916,0.28923762329753,0.314814654081077,0.7909052201706,0.711370645495264
"15",1,1,15,0,1,0,2,1,2,0.428897743837511,0.316603368784913,1,0.146861230596368,0.133098237801873,0.428897743837511,0.316603368784913,0.15,0.731718845292778,0.291690106662043,0.325999368901939,0.814883001315449,0.697171358139209
"16",1,1,16,0,1,0,2,1,2,0.406617153972975,0.3336744340361,1,0.572721401342079,0.133098237801873,0.406617153972975,0.3336744340361,0.159188862574431,0.737598379351835,0.3025196685,0.322513867575069,0.801773067340349,0.702165733380605
"17",1,1,17,0,1,0,2,1,2,0.372401260711856,0.347446026140912,0,0.786005504123677,0.133098237801873,0.372401260711856,0.347446026140912,0.15,0.761146439353635,0.282972589265691,0.359715932934137,0.811170789495676,0.664524997319523
