"","subject","block","trial","first_trial_in_block","choice1","state","state_prob","choice2","expval_ch","expval_unch","reward"
"arm_2",1,1,1,1,1,1,0.7,2,0.284876391221769,0.385252569266595,0
"arm_3",1,1,2,0,2,2,0.7,1,0.634031348129123,0.668674514367157,1
"arm_31",1,1,3,0,1,2,0.3,1,0.628330030544299,0.642617574645812,1
"arm_32",1,1,4,0,2,2,0.7,1,0.623234877903638,0.66197067710399,1
"arm_33",1,1,5,0,2,2,0.7,1,0.597596461954809,0.676626365424688,1
"arm_34",1,1,6,0,2,2,0.7,1,0.595728241539715,0.648186117187123,1
"arm_35",1,1,7,0,2,2,0.7,1,0.572698434956578,0.620144190447034,0
"arm_1",1,1,8,0,2,1,0.3,1,0.347213159187491,0.245109293125714,0
"arm_36",1,1,9,0,2,2,0.7,1,0.585932620759775,0.609941441980965,1
"arm_4",1,1,10,0,1,2,0.3,2,0.619706954036258,0.617701154274217,1
"arm_21",1,1,11,0,1,1,0.7,2,0.24565033973724,0.426376228986611,0
"arm_11",1,1,12,0,2,1,0.3,1,0.437707584038465,0.245331387447968,0
"arm_22",1,1,13,0,2,1,0.3,2,0.215689371429802,0.411836787384408,0
"arm_12",1,1,14,0,1,1,0.7,1,0.427695735430651,0.179061258835738,1
"arm_37",1,1,15,0,2,2,0.7,1,0.714763276265456,0.56986367056403,1
"arm_23",1,1,16,0,1,1,0.7,2,0.206903465813926,0.376128887386542,0
"arm_13",1,1,17,0,2,1,0.3,1,0.379460456568304,0.235203318076015,0
"arm_14",1,1,18,0,1,1,0.7,1,0.386550289411022,0.252096398760606,1
"arm_15",1,1,19,0,1,1,0.7,1,0.403222178344719,0.225829224534066,0
"arm_16",1,1,20,0,2,1,0.3,1,0.388623008068196,0.224233584166644,0
"arm_38",1,1,21,0,1,2,0.3,1,0.779882047377851,0.611833403567202,0
"arm_17",1,1,22,0,2,1,0.3,1,0.37838590946676,0.15,0
"arm_39",1,1,23,0,2,2,0.7,1,0.818667155459452,0.601398313279134,1
"arm_310",1,1,24,0,2,2,0.7,1,0.822077739336167,0.604951019442018,0
"arm_24",1,1,25,0,1,1,0.7,2,0.185851623887392,0.360791761741981,1
"arm_41",1,1,26,0,2,2,0.7,2,0.648165741052743,0.85,0
"arm_18",1,1,27,0,1,1,0.7,1,0.340449298035087,0.15,0
"arm_311",1,1,28,0,2,2,0.7,1,0.839122936293603,0.650650152140271,1
"arm_42",1,1,29,0,1,2,0.3,2,0.66841458019637,0.85,1
"arm_25",1,1,30,0,1,1,0.7,2,0.157252245979107,0.336339251423906,0
"arm_312",1,1,31,0,2,2,0.7,1,0.80710161934536,0.702515891298998,0
"arm_26",1,1,32,0,1,1,0.7,2,0.181724160845873,0.367571718057774,0
