"","subject","block","trial","first_trial_in_block","choice1","state","state_prob","choice2","expval_ch","expval_unch","reward"
"arm_3",1,1,1,1,2,2,0.7,1,0.371202830411494,0.356324325990863,0
"arm_1",1,1,2,0,1,1,0.7,1,0.624409381985164,0.804461970331308,0
"arm_31",1,1,3,0,2,2,0.7,1,0.389934703139593,0.362838839076836,0
"arm_2",1,1,4,0,1,1,0.7,2,0.811661810218357,0.592173198184266,1
"arm_21",1,1,5,0,1,1,0.7,2,0.799131942500928,0.582145124933427,1
"arm_11",1,1,6,0,1,1,0.7,1,0.591700678541625,0.821570245870518,1
"arm_12",1,1,7,0,1,1,0.7,1,0.589488780371541,0.818850807974047,1
"arm_4",1,1,8,0,1,2,0.3,2,0.34300684204171,0.355088088015641,1
"arm_32",1,1,9,0,1,2,0.3,1,0.362231950177925,0.339469743489062,1
"arm_33",1,1,10,0,2,2,0.7,1,0.385051807083754,0.334832779556856,1
"arm_13",1,1,11,0,2,1,0.3,1,0.567471580194261,0.778245693166322,0
"arm_22",1,1,12,0,1,1,0.7,2,0.754027669391511,0.548762002923857,1
"arm_41",1,1,13,0,1,2,0.3,2,0.302848405643044,0.46744569729546,0
"arm_23",1,1,14,0,1,1,0.7,2,0.745579561371122,0.579323868220935,1
"arm_24",1,1,15,0,1,1,0.7,2,0.764663575672768,0.563849538367637,1
"arm_25",1,1,16,0,1,1,0.7,2,0.77164651372646,0.570327247083237,1
"arm_26",1,1,17,0,1,1,0.7,2,0.750279453965711,0.555444541623418,0
"arm_14",1,1,18,0,1,1,0.7,1,0.616875561864938,0.746856055666699,1
"arm_34",1,1,19,0,2,2,0.7,1,0.507577327505425,0.260993357913743,0
"arm_27",1,1,20,0,2,1,0.3,2,0.75523599543542,0.613943950840296,1
"arm_15",1,1,21,0,1,1,0.7,1,0.615530882137599,0.750851133509031,0
"arm_28",1,1,22,0,1,1,0.7,2,0.749569717624699,0.622777157845062,1
"arm_16",1,1,23,0,1,1,0.7,1,0.650138189106422,0.718995046563517,0
"arm_29",1,1,24,0,1,1,0.7,2,0.718239281754338,0.679088760987804,1
